,place_id,name,5min % high A.C.,15min % high A.C.,25min % high A.C.,Buurt,Wijk,geometry,WKT_LNG_LAT,pressure 5min,pressure 15min,pressure 25min,5min % high A.C. Category,15min % high A.C. Category,25min % high A.C. Category,pressure 5min Category,pressure 15min Category,pressure 25min Category,Combined Category 5min,Combined Category 15min,Combined Category 25min,total_points,within_5min,within_15min,within_25min,percent_within_5min,percent_within_15min,percent_within_25min
292,ChIJk4Dqu-oJxkcR9tGqYaPMX3c,The Albus,19.513710527386827,22.4314858191035,26.39952022512896,Rembrandtplein e.o.,Grachtengordel-Zuid,POINT (4.893365 52.3657845),"POLYGON((4.892818 52.36518,4.895874 52.364754,4.896908 52.364966,4.897537 52.365087,4.901217 52.365779,4.900752 52.366625,4.899284 52.367172,4.898795 52.367263,4.898242 52.36732,4.89725 52.367428,4.897128 52.367428,4.896077 52.367379,4.895268 52.367368,4.895052 52.367331,4.894831 52.367308,4.894323 52.367287,4.894147 52.367289,4.893881 52.36729,4.893807 52.367265,4.893466 52.367042,4.893296 52.366678,4.893155 52.36609,4.893008 52.365641,4.892898 52.365425,4.892818 52.36518))",7260.953735679438,75811.03623307569,140336.64205448664,Medium,Low,Medium,High,High,High,Medium AC + High Pressure (Caution),Low AC + High Pressure (Critical),Medium AC + High Pressure (Caution),1687,216,932,1365,12.803793716656786,55.24599881446355,80.91286307053942
293,ChIJk8fjEWALxkcRvcAfXF2Ker0,PREMIER SUITES Amsterdam,21.084050313957075,30.193382065237586,28.395461641040615,VU-kwartier,Zuidas,POINT (4.8679763 52.3375007),"POLYGON((4.857425 52.333609,4.857448 52.332297,4.861817 52.332305,4.861817 52.332078,4.868846 52.332102,4.868831 52.334993,4.868686 52.33811,4.866927 52.338029,4.866697 52.33801,4.86601 52.337973,4.86461 52.337913,4.863263 52.337846,4.862669 52.337809,4.862388 52.33778,4.862262 52.337755,4.86208 52.3377,4.861975 52.337656,4.86174 52.33754,4.861628 52.337474,4.86132 52.337268,4.861213 52.337207,4.861029 52.337075,4.860953 52.337033,4.860766 52.336942,4.860605 52.336881,4.860473 52.336846,4.86031 52.336831,4.859989 52.336826,4.859848 52.336833,4.859137 52.336909,4.858585 52.336946,4.858214 52.336994,4.857599 52.336999,4.857565 52.335384,4.85742 52.334274,4.857425 52.333609))",351.24464178040887,3924.5520473606307,19910.488242065447,High,High,High,Low,Low,Low,High AC + Low Pressure (Potential),High AC + Low Pressure (Potential),High AC + Low Pressure (Potential),367,17,60,89,4.632152588555858,16.348773841961854,24.250681198910083
294,ChIJkQyWuxEKxkcRoc54h_ZVKW4,Element Amsterdam,16.924780018850054,27.7589670069769,28.397572216618805,Gelderlandpleinbuurt,Buitenveldert-West,POINT (4.8775461 52.3316679),"POLYGON((4.868863 52.329141,4.875988 52.329157,4.875987 52.329234,4.877267 52.32924,4.877266 52.329331,4.878678 52.329333,4.878678 52.329384,4.879478 52.329385,4.879447 52.331674,4.879456 52.333125,4.87946 52.333613,4.87945 52.333715,4.879401 52.333931,4.879357 52.334057,4.87924 52.334305,4.879167 52.334426,4.878652 52.335088,4.878113 52.335035,4.876905 52.335006,4.868831 52.334993,4.868846 52.332102,4.868863 52.329141))",8709.106999945185,12318.994792523157,15924.901277202212,Medium,High,High,High,Low,Low,Medium AC + High Pressure (Caution),High AC + Low Pressure (Potential),High AC + Low Pressure (Potential),2616,282,414,490,10.77981651376147,15.825688073394495,18.730886850152906
295,ChIJkSHN4sgJxkcRcDq2lE1M1-M,Quentin Arrive Hotel,3.278495629434615,22.459242837644915,24.818625591755,Haarlemmerbuurt-Oost,Haarlemmerbuurt,POINT (4.8926403 52.379989099999996),"POLYGON((4.888437 52.380522,4.889848 52.379731,4.890134 52.379632,4.890239 52.379599,4.89172 52.37927,4.892009 52.379265,4.893526 52.378945,4.893684 52.378901,4.894004 52.378766,4.894341 52.37903,4.895194 52.379624,4.895468 52.379856,4.895807 52.380144,4.894849 52.380524,4.894862 52.380537,4.894709 52.380583,4.894726 52.3806,4.894508 52.380683,4.894487 52.380663,4.891898 52.381608,4.891499 52.381763,4.890642 52.382161,4.890637 52.382179,4.890186 52.382395,4.890156 52.382364,4.889908 52.382132,4.888437 52.380522))",9658.314147892343,50559.22485336841,95362.61497560708,Low,Low,Low,High,Medium,Medium,Low AC + High Pressure (Critical),Low AC + Medium Pressure (Monitor),Low AC + Medium Pressure (Monitor),948,151,453,609,15.928270042194093,47.78481012658228,64.24050632911393
296,ChIJkUSQa5QJxkcRXpsOUulpljc,The Townhouse Hotel,17.892145404840033,22.999333375971126,26.50636327303255,Utrechtsebuurt-Zuid,De Weteringschans,POINT (4.8996457 52.3620144),"POLYGON((4.896088 52.36162,4.896181 52.360253,4.901194 52.361227,4.903351 52.361656,4.90277 52.362805,4.896517 52.361667,4.896345 52.361641,4.896088 52.36162))",1458.5926108644408,32482.01178534232,123125.43189168448,Medium,Low,Medium,Medium,Medium,High,Medium AC + Medium Pressure (Balanced),Low AC + Medium Pressure (Monitor),Medium AC + High Pressure (Caution),141,7,46,106,4.964539007092199,32.62411347517731,75.177304964539
297,ChIJkUSQa5QJxkcRl34RnotElKE,ITC Hotel,13.868754769366248,23.356990379088543,26.415184261559233,Amstelveldbuurt,Grachtengordel-Zuid,POINT (4.8984667 52.362249899999995),"POLYGON((4.895874 52.364754,4.896088 52.36162,4.896345 52.361641,4.896517 52.361667,4.90277 52.362805,4.901557 52.365162,4.901217 52.365779,4.897537 52.365087,4.896908 52.364966,4.895874 52.364754))",1252.6235268322093,38870.34440607356,124155.90242832867,Medium,Medium,Medium,Medium,Medium,High,Medium AC + Medium Pressure (Balanced),Medium AC + Medium Pressure (Balanced),Medium AC + High Pressure (Caution),1174,55,415,865,4.6848381601362865,35.34923339011925,73.67972742759795
298,ChIJkW2m-7cJxkcRYPl0YLvVRrk,art'otel amsterdam,13.283990726565406,23.07952891150982,24.49524979840327,Nieuwendijk-Noord,Burgwallen-Nieuwe Zijde,POINT (4.8971599999999995 52.37764),"POLYGON((4.893582 52.376221,4.8951 52.376206,4.895342 52.376181,4.895472 52.376156,4.895622 52.376115,4.895702 52.376036,4.896266 52.375819,4.896473 52.375764,4.89708 52.375505,4.899141 52.376971,4.899692 52.377303,4.898867 52.377741,4.898667 52.378012,4.898562 52.378122,4.898442 52.378227,4.898062 52.378505,4.897931 52.378579,4.897713 52.378678,4.896895 52.378001,4.895954 52.377792,4.89585 52.377757,4.895748 52.377712,4.895663 52.377661,4.895584 52.3776,4.895104 52.377147,4.894966 52.37704,4.894775 52.376916,4.894422 52.376738,4.8942 52.376609,4.893582 52.376221))",10583.988488735406,56918.698075974346,99493.20451680096,Medium,Medium,Low,High,High,Medium,Medium AC + High Pressure (Caution),Medium AC + High Pressure (Caution),Low AC + Medium Pressure (Monitor),3548,241,1249,1892,6.792559188275085,35.20293122886133,53.325817361894025
299,ChIJkx5CZPkJxkcR-F4MXXZOV7s,Bilderberg Garden Hotel,22.516781026643457,22.734639410346094,28.850419645775176,Hiltonbuurt,Apollobuurt,POINT (4.8741211 52.3512438),"POLYGON((4.865303 52.350694,4.865494 52.350424,4.865614 52.350451,4.86574 52.350469,4.866564 52.350533,4.866725 52.350539,4.866777 52.350394,4.877178 52.350788,4.877364 52.350776,4.878733 52.350532,4.879053 52.351194,4.877493 52.351472,4.873547 52.352175,4.873 52.352214,4.871924 52.352218,4.87086 52.352119,4.870566 52.352072,4.87039 52.352044,4.866079 52.350898,4.865303 52.350694))",80.37384202159731,11695.849366880446,54949.44976155237,High,Low,High,Low,Low,Low,High AC + Low Pressure (Potential),Low AC + Low Pressure (Limited Interest),High AC + Low Pressure (Potential),2266,5,241,835,0.22065313327449249,10.635481023830538,36.84907325684025
300,ChIJl2OshscJxkcRFODrHMjyXyo,Hotel Damrak Inn,12.360320763265456,23.720635857253757,25.46633010721519,Nieuwe Kerk e.o.,Burgwallen-Nieuwe Zijde,POINT (4.8953469 52.3751147),"POLYGON((4.890589 52.373174,4.890573 52.372947,4.890605 52.372643,4.89137 52.372719,4.891752 52.372725,4.892126 52.372742,4.892975 52.372708,4.893011 52.372707,4.893299 52.3732,4.893565 52.373489,4.894364 52.374067,4.896473 52.375764,4.896266 52.375819,4.895702 52.376036,4.895622 52.376115,4.895472 52.376156,4.895342 52.376181,4.8951 52.376206,4.893582 52.376221,4.89245 52.375459,4.892069 52.375192,4.891934 52.375074,4.891756 52.374874,4.891352 52.374452,4.890938 52.373991,4.89088 52.373892,4.89065 52.373392,4.890589 52.373174))",10636.95066600888,71198.37269089514,110120.46916625554,Low,Medium,Low,High,High,High,Low AC + High Pressure (Critical),Medium AC + High Pressure (Caution),Low AC + High Pressure (Critical),918,220,578,703,23.965141612200437,62.96296296296296,76.57952069716775
301,ChIJlSy8aO8JxkcR8j_uD1uV3mY,Boutique Hotel Maxime,10.365718069145725,25.247207616014183,27.452281554531094,P.C. Hooftbuurt,Museumkwartier,POINT (4.881395899999999 52.3603179),"POLYGON((4.877154 52.360101,4.878568 52.358153,4.883359 52.359432,4.883405 52.35945,4.883482 52.359496,4.883536 52.359554,4.883563 52.359618,4.883561 52.359684,4.883273 52.360145,4.883226 52.36029,4.884275 52.360568,4.884488 52.360643,4.88465 52.360727,4.885386 52.361236,4.884404 52.361727,4.884235 52.361794,4.884046 52.361849,4.883846 52.361888,4.883639 52.36191,4.882635 52.361928,4.882511 52.361938,4.882398 52.361957,4.882324 52.361581,4.882398 52.361478,4.880494 52.360974,4.880378 52.36092,4.877922 52.360277,4.877154 52.360101))",6179.908512854246,44363.252535218984,105198.95231047524,Low,High,High,High,Medium,Medium,Low AC + High Pressure (Critical),High AC + Medium Pressure (Manageable),High AC + Medium Pressure (Manageable),182,10,71,110,5.4945054945054945,39.010989010989015,60.43956043956044
